sampleTimeStamp,groundSteering,output
1584542905673642,0.131955,0.255906
1584542905775478,0.0929737,0.300273
1584542905872995,0.0659773,0.342924
1584542905972813,0.0599851,0.242425
1584542906072914,0.0569845,0.159574
1584542906175966,0.0569845,0.122315
1584542906275501,0.0749791,0.102706
1584542906373155,0.0749791,0.138493
1584542906472786,0.0779797,0.0933911
1584542906572935,0.0779797,0.0997643
1584542906673772,0.0779797,0.11104
1584542906774913,0.0779797,0.0718205
1584542906872686,0.101967,0.0752522
1584542906972834,0.11396,0.0759875
1584542907072776,0.110968,0.0777034
1584542907172555,0.11396,0.0830961
1584542907274935,0.110968,0.099274
1584542907372737,0.110968,0.113736
1584542907472599,0.110968,0.121825
1584542907573295,0.110968,0.106873
1584542907676450,0.110968,0.158103
1584542907775069,-0,0.158593
1584542907872893,-0,0.0860375
1584542907972860,-0,0.0718205
1584542908072412,-0,0.0281889
1584542908172598,-0.113951,0.0107853
1584542908275075,-0,-0.0634864
1584542908372625,-0.0179858,-0.0838314
1584542908472654,-0.0509744,-0.0272084
1584542908572519,-0,-0.068879
1584542908673095,-0,-0.0632412
1584542908774540,-0,-0.0394645
1584542908873035,-0.0899643,-0.0281889
1584542908972983,-0.143948,-0.0326011
1584542909072821,-0.143948,-0.149279
1584542909172487,-0.179929,-0.206882
1584542909275191,-0.0899643,-0.18286
1584542909372678,-0,-0.174036
1584542909472096,-0,-0.176977
1584542909572446,-0,-0.0507401
1584542909672895,-0,-0.0473084
1584542909774217,-0,-0.0272084
1584542909871989,-0.0239869,-0.0183841
1584542909972127,-0.14694,-0.0296597
1584542910071965,-0,-0.177223
1584542910171937,-0,-0.0500047
1584542910274253,-0,-0.0046573
1584542910371900,-0,-0.00318657
1584542910471906,0.146949,-0.0102951
1584542910572090,-0,0.2135
1584542910672539,-0,0.137513
1584542910773997,-0,0.014217
1584542910872002,0.161943,0.040445
1584542910971908,0.143957,0.191194
1584542911072029,0.0929737,0.249778
1584542911171945,0.0569845,0.18139
1584542911277650,0.0269964,0.126482
1584542911372417,0.0179946,0.062751
1584542911471938,0.0120023,0.0355426
1584542911571664,0.0599851,0.0183841
1584542911672751,0.0809714,0.0759875
1584542911774742,0.0899731,0.0982936
1584542911871626,0.206934,0.153446
1584542911971804,0.236922,0.32307
1584542912074268,0.242914,0.35371
1584542912171933,0.0959743,0.350278
1584542912273797,0.0179946,0.326501
1584542912371724,-0,0.164967
1584542912471506,0.0120023,0.0431413
1584542912571466,0.0509833,-0.00392194
1584542912672387,0.0509833,0.0367682
1584542912773661,0.00300058,0.0539266
1584542912871571,0.0239958,0.0296597
1584542912971582,0.029997,0.0125012
1584542913071420,0.0120023,0.0357877
