sampleTimeStamp;groundSteering
1584543601538678;0
1584543602240532;-0
1584543602340623;-0
1584543602438522;-0
1584543602539485;-0
1584543602641277;-0
1584543602737980;-0
1584543602837932;-0
1584543602937746;-0
1584543603037657;-0
1584543603144095;-0
1584543603240807;-0
1584543603337661;-0
1584543603437809;-0
1584543603538544;-0
1584543603639600;-0
1584543603737793;-0
1584543603837501;-0
1584543603937598;-0
1584543604040350;-0
1584543604140075;-0
1584543604237823;-0
1584543604337644;-0
1584543604437705;-0
1584543604538070;-0
1584543604639546;-0
1584543604737739;-0
1584543604840101;0.0329887
1584543604937965;0.0809714
1584543605037302;0.125962
1584543605139348;0.173945
1584543605237422;0.0929737
1584543605337238;0.0779797
1584543605437522;0.0239958
1584543605538240;0.0179946
1584543605643226;0.0209952
1584543605737754;0.0209952
1584543605837370;0.0749791
1584543605937452;0.083972
1584543606037416;0.0150029
1584543606139769;0.00900175
1584543606237049;0.0120023
1584543606337265;0.0569845
1584543606439417;0.098966
1584543606538861;0.125962
1584543606639140;0.125962
1584543606737260;0.128963
1584543606837061;0.128963
1584543606936887;0.128963
1584543607037208;0.128963
1584543607139115;0.125962
1584543607237076;0.0809714
1584543607337001;0.0719785
1584543607437062;0.0749791
1584543607537436;0.0749791
1584543607639169;0.11396
1584543607736785;0.11396
1584543607836792;0.116961
1584543607936984;0.170945
1584543608036719;0.140956
1584543608138865;0.122962
1584543608236804;0.110968
1584543608336699;0.0120023
1584543608436737;-0
1584543608537539;-0
1584543608638886;-0
1584543608736934;-0
1584543608837139;-0
1584543608936872;-0
1584543609036593;-0
1584543609139285;-0
1584543609236462;-0
1584543609336435;-0
1584543609436573;-0
1584543609537050;-0
1584543609638585;-0
1584543609736530;-0
1584543609836327;-0
1584543609936351;-0
1584543610036535;-0
1584543610142650;-0
1584543610236240;-0
1584543610336514;-0.0119935
1584543610436196;-0.0239869
1584543610536843;-0.0779708
1584543610638469;-0.0779708
1584543610736399;-0.119952
1584543610836378;-0.14994
1584543610936345;-0.116952
1584543611036135;-0.0419816
1584543611138309;-0.0209863
1584543611236360;-0
1584543611336049;-0
1584543611436259;-0
1584543611537245;-0
1584543611642414;-0
1584543611738809;-0
1584543611836445;0.0569845
1584543611935956;0.0569845
1584543612036423;0.0569845
1584543612138286;0.0779797
1584543612235802;0.0779797
1584543612335811;0.0779797
1584543612435952;0.0779797
1584543612539278;0.0629856
1584543612638563;0.0629856
1584543612736107;0.0629856
1584543612835893;0.0629856
1584543612936228;0.0629856
1584543613036198;0.0659773
1584543613137765;0.0659773
1584543613236147;0.0659773
1584543613336228;0.0659773
1584543613435615;0.0659773
1584543613536987;0.0659773
1584543613638647;0.0599851
1584543613735650;0.0599851
1584543613835514;0.0599851
1584543613935676;0.0599851
1584543614035478;0.0629856
1584543614137498;0.0929737
1584543614235969;0.0929737
1584543614335878;0.083972
1584543614435684;0.0719785
1584543614536572;0.0629856
1584543614637577;0.0749791
1584543614735649;0.122962
1584543614835899;0.15295
1584543614935364;0.0689779
1584543615035709;0.0239958
1584543615137522;0.0239958
1584543615235309;0.0239958
1584543615335545;0.0209952
1584543615435456;0.0809714
1584543615535926;0.107968
1584543615637446;0.134955
1584543615735404;0.164943
1584543615835267;0.170945
1584543615935304;0.170945
1584543616035319;0.170945
1584543616137393;0.161943
1584543616238022;0.0209952
1584543616335535;-0
1584543616435093;-0
1584543616535743;-0
1584543616637001;-0.140948
1584543616735046;-0.290888
1584543616835079;-0.290888
1584543616935167;-0
1584543617034946;-0
1584543617136873;-0
1584543617235421;-0
1584543617335148;-0
1584543617434877;0.083972
1584543617535695;0.110968
1584543617636797;-0
1584543617734833;-0
1584543617834985;-0
1584543617934791;-0
1584543618034746;-0.18593
1584543618136840;-0.122953
1584543618234706;-0
1584543618334692;-0
1584543618437432;-0
1584543618536348;-0
1584543618636732;0.15595
1584543618734878;0.281904
1584543618834572;-0
1584543618934850;-0
1584543619035132;-0
1584543619136699;-0
1584543619237285;-0.197923
1584543619334789;-0
1584543619434498;-0
1584543619535354;-0
1584543619636857;-0
1584543619734420;0.131955
1584543619834393;0.143957
1584543619935009;0.0629856
1584543620034717;-0
1584543620136150;-0
1584543620234725;-0
1584543620334383;-0
1584543620434269;-0
1584543620535149;0.146949
1584543620636147;0.176946
1584543620734343;0.176946
1584543620834371;0.173945
1584543620934468;0.170945
1584543621034392;0.146949
1584543621136481;-0
1584543621234401;-0.122953
1584543621334398;-0.245906
1584543621434337;0.0239958
1584543621534814;0.137956
1584543621635919;0.161943
