sampleTimeStamp;groundSteering
1584543153026567;0
1584543153527171;-0
1584543153627059;-0
1584543153726937;-0
1584543153824849;-0
1584543153924685;-0
1584543154024633;0.0150029
1584543154125140;0.0749791
1584543154226883;0.0659773
1584543154324615;0.0659773
1584543154427245;0.0629856
1584543154524661;0.0659773
1584543154625490;0.0659773
1584543154726542;0.0659773
1584543154824699;0.0659773
1584543154924791;0.0659773
1584543155024622;0.0659773
1584543155124660;0.0659773
1584543155230154;0.0659773
1584543155324559;0.0659773
1584543155424526;0.0239958
1584543155524320;-0
1584543155625483;-0
1584543155726937;-0
1584543155824256;-0
1584543155924467;-0
1584543156027088;-0
1584543156124496;-0
1584543156226583;-0
1584543156324612;-0
1584543156425245;-0
1584543156524355;-0
1584543156624896;-0
1584543156726057;-0
1584543156827240;-0
1584543156924110;-0
1584543157024046;-0
1584543157124190;-0
1584543157225964;-0
1584543157323968;-0
1584543157424131;-0
1584543157523936;-0
1584543157624792;-0
1584543157726186;-0
1584543157823950;-0
1584543157923955;-0
1584543158024150;-0
1584543158123962;-0.0329798
1584543158225965;-0.0809625
1584543158324029;-0.0809625
1584543158423960;-0.0809625
1584543158523887;-0.0809625
1584543158625049;-0.0809625
1584543158725863;-0.0809625
1584543158823937;-0.0809625
1584543158923935;-0.0809625
1584543159023732;-0.0809625
1584543159123900;-0.0809625
1584543159226086;-0.0809625
1584543159323608;-0.0779708
1584543159424094;-0.0809625
1584543159523941;-0.0809625
1584543159624597;-0.0899643
1584543159725498;-0.0899643
1584543159823916;-0.0929649
1584543159923893;-0.0989571
1584543160023702;-0.0989571
1584543160123880;-0.113951
1584543160225528;-0.152941
1584543160323703;-0.155942
1584543160426724;-0.167935
1584543160523644;-0.218918
1584543160624063;-0.248906
1584543160726031;-0.245906
1584543160823369;-0.215918
1584543160923305;-0.179929
1584543161023901;-0.182929
1584543161123679;-0.170936
1584543161230099;-0.0929649
1584543161324087;-0
1584543161423220;-0
1584543161523282;-0
1584543161624367;0.0749791
1584543161725378;0.0599851
1584543161823435;-0
1584543161923272;-0
1584543162023121;-0
1584543162123252;-0
1584543162225450;-0
1584543162323322;-0
1584543162423001;-0
1584543162523582;-0
1584543162623600;-0
1584543162725145;-0
1584543162823317;-0
1584543162922881;-0
1584543163022852;-0
1584543163123027;-0
1584543163225186;-0
1584543163322807;-0
1584543163422946;-0
1584543163522727;-0
1584543163623407;-0
1584543163725035;-0
1584543163822699;-0
1584543163922666;-0
1584543164022820;-0
1584543164125310;-0
1584543164230181;-0
1584543164323081;-0
1584543164422577;-0
1584543164522551;-0
1584543164623376;-0
1584543164724669;-0.00899288
1584543164822515;-0.0329798
1584543164922664;-0
1584543165022455;-0
1584543165122525;-0
1584543165224889;-0
1584543165322466;-0
1584543165422395;-0
1584543165522665;-0
1584543165623109;-0
1584543165728985;-0
1584543165822549;-0
1584543165922304;-0
1584543166022267;-0
1584543166122506;-0
1584543166224484;-0
1584543166322485;-0
1584543166422565;-0
1584543166525138;-0
1584543166626262;-0
1584543166725755;-0.0239869
1584543166822204;-0
1584543166922442;-0
1584543167022669;-0
1584543167122301;-0
1584543167224209;-0
1584543167322854;-0
1584543167422067;-0
1584543167522071;-0.00299171
1584543167622945;-0.137947
1584543167725298;-0.131946
1584543167822154;-0.131946
1584543167922114;-0.131946
1584543168021936;-0.131946
1584543168124766;-0.122953
1584543168224773;-0.122953
1584543168321937;-0.122953
1584543168422194;-0.122953
1584543168522063;-0.122953
1584543168622776;-0.122953
1584543168724343;-0.122953
1584543168822071;-0.14994
1584543168922030;-0.200924
1584543169021928;-0.209925
1584543169122362;-0.200924
1584543169224065;-0
1584543169321904;-0
1584543169422125;-0
1584543169521871;-0
1584543169625544;-0
1584543169724795;-0.125954
1584543169821630;-0.125954
1584543169921651;-0
1584543170021694;-0
1584543170121665;-0
1584543170223659;-0
1584543170321820;-0
1584543170424400;-0
1584543170524693;-0.0989571
1584543170622671;-0.0839631
1584543170723513;-0
1584543170821443;-0
1584543170921629;-0
1584543171021362;-0
1584543171121331;-0
1584543171223556;-0
1584543171321311;-0
1584543171421385;-0
1584543171521948;-0
1584543171622053;-0
1584543171723503;-0.00899288
1584543171821523;-0
1584543171921462;-0
1584543172021257;-0
1584543172121341;-0
1584543172223223;-0
1584543172321124;-0
1584543172421305;-0
1584543172521101;-0
1584543172621673;-0
1584543172723294;-0
1584543172821063;-0
1584543172920946;-0
1584543173021183;-0
1584543173120899;0.161943
1584543173223060;0.188939
1584543173321119;-0
1584543173420890;-0
1584543173524239;-0
1584543173621860;-0
1584543173723554;-0
1584543173820762;-0.104958
1584543173921092;-0
1584543174020807;-0
1584543174120779;-0.125954
1584543174222990;-0.122953
1584543174323784;-0.116952
1584543174420641;-0.0989571
1584543174520794;-0.0779708
1584543174621714;-0.0779708
1584543174722903;-0.0779708
1584543174820805;-0.0779708
1584543174920746;-0.0779708
1584543175021081;-0.0779708
1584543175123766;-0.014994
1584543175223100;-0
1584543175320656;-0
1584543175420814;-0
1584543175520444;-0.116952
1584543175621161;-0.0689691
1584543175722754;-0
1584543175820398;-0
1584543175920619;-0
1584543176020691;-0.0119935
1584543176120545;-0.0119935
1584543176222857;-0.122953
1584543176320527;-0.140948
1584543176420267;-0.0599762
1584543176520465;-0.116952
1584543176624285;-0.287896
1584543176722994;-0.290888
1584543176820412;-0.290888
1584543176920366;-0.290888
1584543177020677;-0.290888
1584543177120259;-0.251907
1584543177222172;-0.00299171
1584543177320166;-0
1584543177423233;-0.158942
1584543177520823;-0.0899643
1584543177620773;-0
1584543177721941;-0
1584543177820558;-0.116952
1584543177919971;-0.113951
1584543178019932;-0
1584543178120339;-0.0209863
1584543178225735;-0.278895
1584543178320288;-0.254908
1584543178420260;-0
1584543178520023;-0
1584543178620489;-0
1584543178721862;-0
1584543178820087;-0
1584543178920692;-0
1584543179019919;-0.0599762
1584543179119704;-0
1584543179221614;-0
1584543179319866;-0
1584543179419918;-0
1584543179519623;-0
1584543179620471;-0.0299881
1584543179725058;-0.0359804
1584543179822411;-0.0179858
1584543179920320;-0
1584543180019792;-0
1584543180119522;-0
1584543180221619;-0
1584543180319490;-0
1584543180419464;-0
1584543180519659;-0
1584543180620095;-0
1584543180721331;-0
1584543180819596;-0
1584543180919368;-0
1584543181019437;0.00300058
1584543181119583;0.0749791
1584543181221242;0.098966
1584543181319523;0.0809714
1584543181419468;0.0629856
1584543181519362;0.0599851
1584543181620046;0.0509833
1584543181721338;0.0239958
1584543181819233;0.0120023
1584543181919488;0.0120023
1584543182019537;0.00900175
1584543182119273;-0
1584543182221073;-0
1584543182319520;-0
1584543182419368;-0
1584543182519086;-0
1584543182619932;-0
1584543182720857;-0
1584543182819054;-0
1584543182919198;-0
1584543183019088;-0
1584543183119045;0.00300058
1584543183221416;0.0479916
1584543183319207;0.0599851
1584543183419179;0.0599851
1584543183519505;0.0719785
1584543183619719;0.0749791
1584543183722047;0.0749791
1584543183819310;0.0749791
1584543183919395;0.0719785
1584543184019122;0.0629856
1584543184119065;0.0599851
1584543184220832;-0
1584543184319157;-0.0269875
1584543184418936;-0.173936
1584543184518724;-0.173936
1584543184619549;-0.200924
1584543184720568;-0.290888
1584543184819010;-0.290888
1584543184922048;-0.290888
1584543185019029;-0.290888
1584543185118610;-0.290888
1584543185220245;-0.290888
1584543185318812;-0.278895
1584543185418665;-0.143948
1584543185518764;-0
1584543185619528;-0
1584543185720703;-0
1584543185819061;-0
1584543185919185;-0.0809625
1584543186018835;-0.170936
1584543186118430;-0.164934
1584543186220685;-0.0809625
1584543186318510;-0.0809625
1584543186418349;-0
1584543186618990;-0
1584543186720501;-0
1584543186818449;-0.167935
1584543186918228;-0.18893
1584543187018510;-0.14994
1584543187120916;-0.122953
1584543187220739;-0.00599229
1584543187318413;0.0569845
1584543187418372;0.212926
1584543187518136;0.254917
1584543187619028;-0
1584543187720345;-0
1584543187818388;-0
1584543187920668;-0
1584543188021156;-0.278895
1584543188118187;-0
1584543188220302;-0
1584543188318288;-0
1584543188418174;-0
1584543188517917;-0
1584543188618744;-0
1584543188720064;-0
1584543188821004;-0
1584543188920085;-0
1584543189017878;-0.119952
1584543189117852;-0.113951
1584543189220056;-0.0599762
1584543189318229;-0.0509744
1584543189417775;-0.0419816
1584543189518133;-0.0299881
1584543189618813;-0.0299881
1584543189725021;-0.0299881
1584543189818041;-0.0329798
1584543189918400;-0.0329798
1584543190018678;-0.125954
1584543190117855;-0.176937
1584543190220400;-0.191931
1584543190317692;-0.2639
1584543190417817;-0.290888
1584543190517775;-0.290888
1584543190618199;-0.275894
1584543190719964;-0.173936
1584543190817690;-0.101958
1584543190917447;-0.137947
1584543191017802;-0.140948
1584543191117637;-0.0359804
1584543191219853;-0
1584543191317862;-0
1584543191417604;0.188939
1584543191517409;-0
1584543191618173;-0
1584543191719585;-0
1584543191817399;-0
1584543191920859;-0
